Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_number,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,tissue,create_date,version
SRR3084474,RNA-Seq,43,438680969,PRJNA307607,SAMN04383839,463742969,120,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516143,GSM2027338,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027338,neurons,SRP068066,lumbar spinal cord,2016-01-04T19:03:00Z,1
SRR3084475,RNA-Seq,43,301774387,PRJNA307607,SAMN04383840,318604076,120,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516144,GSM2027339,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027339,neurons,SRP068066,lumbar spinal cord,2016-01-04T19:03:00Z,1
SRR3084476,RNA-Seq,43,581105827,PRJNA307607,SAMN04383841,603404761,120,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516145,GSM2027340,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027340,neurons,SRP068066,lumbar spinal cord,2016-01-04T19:04:00Z,1
SRR3084477,RNA-Seq,43,357313961,PRJNA307607,SAMN04383842,379992531,120,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516146,GSM2027341,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027341,neurons,SRP068066,lumbar spinal cord,2016-01-04T19:03:00Z,1
SRR3084478,RNA-Seq,43,374009227,PRJNA307607,SAMN04383843,369296771,120,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516147,GSM2027342,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027342,neurons,SRP068066,lumbar spinal cord,2016-01-04T19:03:00Z,1
SRR3084479,RNA-Seq,43,1325523031,PRJNA307607,SAMN04383844,1173771798,120,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516148,GSM2027343,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027343,neurons,SRP068066,cervical spinal cord,2016-01-04T19:05:00Z,1
SRR3084480,RNA-Seq,43,627610800,PRJNA307607,SAMN04383845,628637363,120,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516149,GSM2027344,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027344,neurons,SRP068066,cervical spinal cord,2016-01-04T19:04:00Z,1
SRR3084481,RNA-Seq,43,1407264870,PRJNA307607,SAMN04383846,1231800026,120,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516150,GSM2027345,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027345,neurons,SRP068066,cervical spinal cord,2016-01-04T19:06:00Z,1
SRR3084482,RNA-Seq,43,807938094,PRJNA307607,SAMN04383847,726406656,120,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516151,GSM2027346,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027346,neurons,SRP068066,cervical spinal cord,2016-01-04T19:04:00Z,1
SRR3084483,RNA-Seq,43,1003367805,PRJNA307607,SAMN04383848,946733614,120,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516152,GSM2027347,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027347,neurons,SRP068066,cervical spinal cord,2016-01-04T19:05:00Z,1
SRR3084484,RNA-Seq,43,442719830,PRJNA307607,SAMN04383849,406547740,120,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516153,GSM2027348,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027348,neurons,SRP068066,cervical spinal cord,2016-01-04T19:03:00Z,1
SRR3084485,RNA-Seq,43,545822220,PRJNA307607,SAMN04383850,490855258,120,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516154,GSM2027349,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027349,neurons,SRP068066,cervical spinal cord,2016-01-04T19:05:00Z,1
SRR3084486,RNA-Seq,43,343464865,PRJNA307607,SAMN04383851,323034436,120,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516155,GSM2027350,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027350,neurons,SRP068066,cervical spinal cord,2016-01-04T19:02:00Z,1
